# %ECSV 1.0
# ---
# datatype:
# - {name: wavelength, unit: micron, datatype: float64}
# - {name: time, unit: d, datatype: float64}
# - {name: flux, datatype: float64}
# - {name: uncertainty, datatype: float64}
# - {name: planet_model, datatype: float64}
# - {name: systematics_model, datatype: float64}
# - {name: model, datatype: float64}
# - {name: residuals, datatype: float64}
# meta: {name: WASP-39b, time_label: Time from Mid-Transit, tscale: linear, wscale: log}
# schema: astropy-2.0
wavelength time flux uncertainty planet_model systematics_model model residuals
3.017 -0.09159909961938029 0.9995357609066838 0.0003404337647305232 1.0 1.0026467638256455 1.0000001782534982 -0.00046441734681434976
3.017 -0.09091356471373802 0.9998587132083979 0.0003404364384240322 1.0 1.0026388893156293 1.0000001779745415 -0.00014146476614362857
3.017 -0.09022802980809574 0.9998534581780771 0.0003404391266037674 1.0 1.0026309722657565 1.0000001781706247 -0.00014671999254756152
3.017 -0.08954249443679219 1.0005798554396725 0.0003404417903273396 1.0 1.0026231273658912 1.000000178258293 0.0005796771813795232
3.017 -0.08885695906548863 0.9996781033868508 0.0003404444362761566 1.0 1.0026153349357763 1.000000178297823 -0.0003220749109721366
3.017 -0.08817142415984636 1.0000295315724985 0.00034044706832245996 1.0 1.0026075835693185 1.0000001780588899 2.9353513608665338e-05
3.017 -0.0874858887885428 0.9997680678279884 0.0003404496933866062 1.0 1.0025998528846638 1.0000001782176722 -0.00023211038968373732
3.017 -0.08680035388290053 0.9998151620475132 0.00034045235234267705 1.0 1.0025920225114937 1.0000001781951338 -0.00018501614762056473
3.017 -0.08611481851159697 1.0001530344955003 0.0003404549758040953 1.0 1.002584296786578 1.0000001782366608 0.0001528562588395399
3.017 -0.08542928314029341 0.9997264495048227 0.0003404575893944079 1.0 1.0025766002490728 1.0000001781275039 -0.0002737286226811575
3.017 -0.08474374823465114 0.9998160987595571 0.0003404602222966484 1.0 1.002568846961011 1.0000001780068288 -0.00018407924727170677
3.017 -0.08405821332900887 1.0001434784923302 0.0003404628552827549 1.0 1.002561093545906 1.000000178104024 0.00014330038830623337
